Measurer,Timestamp,Local time,A,B,C
A,1434050117,117.713,117.676,117.307,117.581
A,1434050131,131.087,131.046,130.863,130.955
A,1434050144,144.370,144.341,144.128,144.220
A,1434050157,157.759,157.714,157.500,157.622
A,1434050171,171.124,171.047,170.864,170.955
A,1434050184,184.303,184.242,184.060,184.150
B,1434050124,124.377,124.158,124.311,124.097
B,1434050137,137.711,137.514,137.637,137.422
B,1434050151,151.215,150.987,151.137,150.956
B,1434050164,164.665,164.474,164.597,164.384
B,1434050178,178.145,177.964,178.088,177.906
B,1434050191,191.434,191.173,191.326,191.173
C,1434050124,124.843,124.770,124.495,124.740
C,1434050137,137.695,137.573,137.422,137.573
C,1434050150,150.702,150.559,150.406,150.559
C,1434050163,163.519,163.405,163.250,163.372
C,1434050176,176.436,176.315,176.192,176.284
C,1434050189,189.600,189.517,189.363,189.455
