Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.58
1,0,0
2,0,0
3,0,0
4,0,0
5,154,0
6,30551,0
7,39052,0
8,62905,0
9,67669,0
10,54173,0
11,70718,1517
12,75299,46027
13,63164,44361
14,62413,64808
15,59455,56369
16,55159,62039
17,66582,50538
18,56557,57330
19,62264,55423
20,63394,52274
21,59420,58381
22,64371,52779
23,59638,54256
24,66921,49710
25,62136,42997
26,54150,41332
27,61367,39668
28,64974,38372
29,65792,37468
30,67254,37109
31,67516,36672
32,74474,43374
33,60845,35062
34,72092,33910
35,64728,24834
36,63291,19504
37,64052,17483
38,75188,14046
39,67955,15330
40,63086,14911
41,65633,13573
42,79096,14966
43,61607,14938
44,64269,15573
45,68070,16185
46,75573,15100
47,73771,9054
48,71251,13975
49,74437,15882
50,71290,15371
51,69264,16007
52,70924,15865
53,72496,15271
54,74090,15547
55,72813,15503
56,75093,16433
57,70303,15366
58,75064,16408
59,70017,15829
60,75628,16281
61,76385,16382
62,71105,16683
63,81554,17001
64,73680,16819
65,85070,16343
66,84085,16649
67,87956,16564
68,81363,17339
69,88634,16913
70,80191,17097
71,87722,18085
72,80272,16549
73,86018,17254
74,86659,17000
75,91102,17250
76,87889,17395
77,93516,16957
78,84577,17293
79,86604,17410
80,92556,17558
81,88319,17646
82,89540,17583
83,88637,17269
84,88006,17341
85,89972,17880
86,91299,17667
87,90791,17746
88,89492,17319
89,92074,17623
90,88668,18388
91,93225,18079
92,89296,18622
93,90893,18763
94,96786,18875
95,93347,18935
96,95562,19199
97,97626,19357
98,94925,18870
99,99794,20668
100,95737,19491
101,99290,21772
102,98354,19116
103,94419,20793
104,100829,21531
105,85030,20398
106,98226,19640
107,93918,22644
108,77895,26476
109,74756,16097
110,78665,17368
111,95036,16239
112,92476,15723
113,94979,13923
114,90951,15725
115,90253,15941
116,91058,16914
117,89723,16791
118,87826,16668
119,99175,16212
120,94144,16571
121,92650,16047
122,91955,17009
123,86287,16480
124,93097,16336
125,98273,16603
126,83592,16461
127,70139,16802
128,88830,16084
129,93106,16639
130,89953,16699
131,90578,16621
132,89368,17306
133,94649,16625
134,92583,17725
135,96746,18648
136,97231,19516
137,91944,20111
138,95286,20620
139,95038,20668
140,91448,21822
141,96901,23975
142,91421,23255
143,95240,24213
144,95021,24572
145,91779,23712
146,92390,25042
147,93108,25396
148,87897,31142
149,92059,26463
150,85622,31703
151,91335,26735
152,88456,30591
153,87968,30538
154,85218,32675
155,76935,29458
156,74604,43824
157,82143,36406
158,88498,30102
159,80274,37420
160,86541,32714
161,74159,38926
162,73939,34978
163,72879,33635
164,77489,33880
165,83448,35068
166,83639,35009
167,80001,33695
168,80265,34919
169,82154,34604
170,81316,34579
171,80119,34713
172,81527,33865
173,81953,34153
174,79235,35022
175,77908,32344
176,80222,34535
177,78250,33728
178,80442,35081
179,79821,34749
180,77623,32124
181,78212,34261
182,76379,34179
183,79166,32917
184,79326,33412
185,79563,33923
186,79334,34532
187,77672,33535
188,74673,33731
189,76896,33631
190,75535,33671
191,75193,33682
192,73865,33343
193,74485,34478
194,77612,33996
195,74004,34222
196,76489,34859
197,76150,34858
198,74225,34489
199,74372,35160
200,73011,33133
201,75226,34336
202,73630,35995
203,73233,34098
204,72883,34615
205,72723,33274
206,70261,34082
207,81549,33220
208,33369,34497
209,53478,35182
210,63833,33984
211,68560,34226
212,66054,34861
213,69159,33665
214,68747,35202
215,68797,34400
216,66820,34849
217,69347,33656
218,69008,35103
219,68712,34914
220,69264,34224
221,71179,35576
222,67668,34607
223,69813,34948
224,67646,33573
225,67980,34294
226,69534,35264
227,70316,35305
228,68321,34919
229,70093,34658
230,69433,35837
231,67140,34936
232,69190,36101
233,75023,38154
234,6006,3845
