Timestamp,Local time,A,B,C,D,E,F,G
1433517873,873.271,873.211,873.150,862.114,867.630,872.997,872.905,857.895
1433517885,885.831,885.757,885.696,878.427,879.643,885.451,885.481,873.518
1433517898,898.401,898.346,898.255,891.447,892.272,898.013,891.660,884.293
1433517910,910.845,910.766,910.704,904.233,904.938,910.397,910.612,899.380
1433517923,923.706,923.664,923.572,909.232,917.904,923.265,923.357,909.631
1433517936,936.352,936.246,936.185,924.215,930.530,935.818,936.001,926.514
1433517879,879.364,879.217,879.278,871.831,868.303,878.977,878.977,857.436
1433517891,891.940,891.783,891.844,876.866,880.710,891.539,891.539,879.856
1433517904,904.575,904.417,904.508,893.861,893.158,904.172,904.172,883.374
1433517917,917.193,917.045,917.074,908.711,906.524,916.803,916.803,903.620
1433517929,929.771,929.611,929.673,921.425,919.372,929.364,929.396,908.464
1433517942,942.293,942.143,942.204,934.776,932.368,941.536,942.112,930.041
1433517879,879.327,879.157,879.217,879.217,865.115,876.131,877.906,846.044
1433517891,891.753,891.600,891.600,891.630,884.476,888.542,889.306,846.044
1433517904,904.121,903.957,903.988,903.988,890.529,903.771,900.904,885.357
1433517916,916.523,916.374,916.374,916.374,906.870,915.148,913.339,897.190
1433517928,928.917,928.782,928.782,928.782,917.904,926.055,925.745,897.190
1433517941,941.247,941.077,941.077,941.077,935.418,937.900,938.054,919.311
1433517874,874.237,871.034,871.064,866.741,874.171,873.824,874.101,851.586
1433517886,886.964,883.773,883.803,868.458,886.827,886.706,886.827,864.197
1433517899,899.777,896.547,896.608,889.458,899.622,899.472,899.622,885.266
1433517912,912.621,904.662,909.477,900.296,912.482,912.360,912.482,891.110
1433517925,925.384,924.246,922.252,918.087,925.257,925.104,925.255,907.391
1433517938,938.153,935.909,934.990,926.238,937.992,937.870,937.992,924.828
1433517876,876.656,876.161,875.977,870.328,869.470,876.529,876.499,863.614
1433517889,889.228,888.847,888.542,876.529,875.457,889.122,889.061,864.320
1433517901,901.817,901.391,900.418,892.425,889.000,901.725,901.664,887.777
1433517914,914.404,913.953,912.629,906.686,902.727,914.290,614.228,891.324
1433517926,926.847,926.453,924.062,919.342,916.067,926.750,926.698,912.910
1433517939,939.551,939.124,936.063,923.909,930.469,939.458,939.369,918.944
1433517880,880.303,879.977,879.948,868.090,873.917,880.130,880.220,862.634
1433517892,892.979,892.608,892.608,882.331,886.768,892.761,892.883,879.429
1433517905,905.706,905.336,905.305,897.741,899.593,905.490,905.612,889.642
1433517918,918.442,918.056,918.056,911.225,903.896,918.209,918.331,905.153
1433517931,931.119,930.744,930.744,924.031,918.453,930.836,931.020,916.037
1433517943,943.676,943.327,943.327,936.951,932.703,943.449,943.602,916.037
1433517874,874.781,862.817,868.397,855.565,832.285,872.690,872.782,874.657
1433517887,887.444,885.389,886.706,877.142,832.285,877.196,884.961,887.379
1433517899,899.963,889.336,896.030,877.142,889.306,899.622,899.714,899.868
1433517912,912.532,911.563,912.053,904.141,889.306,906.256,910.551,912.419
1433517925,925.099,914.504,922.589,910.213,917.650,924.850,923.265,925.012
1433517937,937.738,936.461,937.227,910.213,917.650,935.021,927.954,937.686
