Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.58,ip.dst==129.241.208.60
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,651,651,651
8,24121,22628,22298
9,45951,42125,40000
10,49901,45440,45246
11,50421,47845,48647
12,51153,48412,51045
13,53959,50212,55294
14,55999,52292,55834
15,57682,52130,59077
16,64174,60782,62812
17,64270,64215,69196
18,69600,67384,70506
19,70336,71668,77532
20,74052,71516,76998
21,76395,73903,81115
22,78917,79472,83368
23,88404,84475,98463
24,98870,90574,101319
25,93970,94026,96391
26,124057,117434,122875
27,137513,123844,133083
28,148750,145861,158612
29,147160,129111,142254
30,151772,133883,151195
31,124468,112191,131094
32,144823,128365,141595
33,179861,162241,175301
34,213218,196397,205448
35,206899,189100,216168
36,201637,185708,213374
37,211693,198115,208046
38,235892,217419,233203
39,273058,247314,268018
40,292921,285500,290790
41,265465,263606,264217
42,258422,251513,250541
43,276398,273445,273857
44,244228,234687,239656
45,263455,267805,263770
46,263091,261753,267808
47,250406,261466,257852
48,258427,268018,267660
49,271578,271153,273049
50,259872,265012,263069
51,263787,270929,266715
52,267799,273163,267523
53,265416,268116,266215
54,265157,269302,263778
55,273879,267670,268373
56,272682,265711,266873
57,283233,268074,273119
58,267662,262483,254840
59,255744,257312,265483
60,270379,268062,268732
61,266951,269572,266219
62,273304,273525,266612
63,276403,276294,275055
64,274259,264948,271768
65,273281,265989,271418
66,266197,266058,269537
67,263491,254593,261496
68,300226,297508,305989
69,250473,248312,254318
70,261512,254045,262398
71,263540,265018,258903
72,267568,265664,261628
73,269775,268831,268726
74,265276,258509,266179
75,259595,265301,267918
76,261328,265935,263113
77,268249,281348,269356
78,265425,270447,266114
79,270380,271506,267966
80,271312,271464,272150
81,267847,262880,266993
82,264722,264827,249685
83,261619,265430,272846
84,264005,270730,280562
85,268242,276869,269398
86,264594,274837,262791
87,269315,272949,270914
88,278198,265418,274852
89,264848,272987,272695
90,254466,269159,250837
91,259619,241536,257556
92,268317,255019,265702
93,264692,265700,270072
94,279244,271853,273139
95,257034,262913,267934
96,273382,265845,271052
97,258465,276441,261490
98,262951,267037,264578
99,264429,267130,256416
100,256596,257699,262775
101,275346,271026,276311
102,258523,258186,261295
103,266510,266541,266926
104,263978,273570,261083
105,267401,261376,271647
106,274146,271604,250531
107,253279,245067,271494
108,270493,271979,263790
109,244033,252533,252802
110,262125,257245,262198
111,265276,263355,265608
112,273768,264529,266740
113,268981,266856,267517
114,260872,258878,262027
115,268561,275042,267842
116,259812,257865,268054
117,272517,273810,267481
118,266185,265462,268370
119,264688,267432,271003
120,272109,269602,265007
121,270244,268943,270124
122,263621,265482,259617
123,253524,252959,264493
124,269241,268751,260634
125,267455,265714,264030
126,259976,267075,267735
127,256253,288280,258242
128,267094,242189,263845
129,244925,245193,245949
130,256450,266481,261578
131,266156,265540,273824
132,258451,256077,257842
133,271306,266155,265923
134,270045,273113,264723
135,273870,266395,266045
136,269118,266754,266621
137,284504,284297,279627
138,263994,265075,262088
139,267827,275169,266832
140,258150,260872,256136
141,270491,260815,279690
142,264490,264679,274995
143,260416,271024,256273
144,263236,267469,269524
145,265427,262011,271762
146,273078,267366,263735
147,258873,254128,251623
148,265181,278803,276785
149,260726,261425,256557
150,272880,261051,267655
151,270281,265930,263050
152,259156,261017,268262
153,269817,262921,264566
154,265105,267780,267001
155,260925,263003,265526
156,255455,258685,269908
157,267561,266652,251417
158,264332,266426,265545
159,269774,272155,273573
160,264302,262919,257887
161,265654,276440,270234
162,269133,265465,268873
163,262796,263724,255453
164,261676,252668,259076
165,265936,263517,261527
166,261042,274359,263619
167,265874,262174,272984
168,273925,267820,269950
169,261392,258624,259520
170,261462,269269,267399
171,264621,266908,264432
172,254368,256024,265668
173,260785,262835,252034
174,274011,276119,277559
175,269805,258931,269293
176,269548,259990,259041
177,266222,272320,272410
178,268457,266362,267901
179,257573,262373,258747
180,267049,265861,265139
181,264714,262189,260014
182,266399,263833,263971
183,261958,270741,266265
184,269568,257034,266426
185,265895,265659,267424
186,259296,267154,268419
187,263178,260642,251501
188,257733,254538,259773
189,268431,245129,260451
190,255988,266088,267827
191,272216,266921,266076
192,268329,265778,264289
193,265789,268638,266738
194,268328,272322,266395
195,271468,269908,271504
196,257678,261908,272245
197,268614,278384,265611
198,257317,273190,259213
199,273061,256278,266603
200,260144,263280,263492
201,262478,266214,273868
202,273431,269804,263609
203,261683,260907,259776
204,261764,258768,262541
205,260406,261918,260785
206,256933,264999,258897
207,262901,268964,266096
208,269243,271789,265592
209,275392,266795,269924
210,268140,267944,264909
211,269205,268779,267783
212,258629,263531,265311
213,258653,252522,256753
214,271121,265782,268219
215,267282,268866,267144
216,262891,271840,269456
217,265711,264266,263237
218,266698,261509,266612
219,261884,267576,267152
220,267164,271772,271662
221,121471,112132,119706
